month,hour,freq,latitude,longitude,Fam5,Fam10,Fam20,Fam30,Fam40,Fam50,Fam60,Fam70,Fam80,Fam90,Fam100
4, 20, 0.0100, -40.0157, -105.2793, 136.5117, 138.1033, 141.2864, 144.4695, 147.6526, 150.8357, 154.0188, 157.2019, 160.3850, 163.5681, 166.7512
4, 20, 0.0150, -40.0157, -105.2793, 128.6225, 130.3338, 133.7564, 137.1790, 140.6016, 144.0242, 147.4467, 150.8693, 154.2919, 157.7145, 161.1371
4, 20, 0.0200, -40.0157, -105.2793, 122.1894, 124.0249, 127.6959, 131.3669, 135.0379, 138.7090, 142.3800, 146.0510, 149.7220, 153.3930, 157.0640
4, 20, 0.0250, -40.0157, -105.2793, 116.7003, 118.6565, 122.5689, 126.4813, 130.3937, 134.3060, 138.2184, 142.1308, 146.0432, 149.9555, 153.8679
4, 20, 0.0300, -40.0157, -105.2793, 111.8867, 113.9579, 118.1004, 122.2429, 126.3853, 130.5278, 134.6702, 138.8127, 142.9551, 147.0976, 151.2400
4, 20, 0.0350, -40.0157, -105.2793, 107.5866, 109.7668, 114.1272, 118.4877, 122.8481, 127.2086, 131.5691, 135.9295, 140.2900, 144.6504, 149.0109
4, 20, 0.0400, -40.0157, -105.2793, 103.6932, 105.9765, 110.5433, 115.1100, 119.6767, 124.2434, 128.8101, 133.3768, 137.9436, 142.5103, 147.0770
4, 20, 0.0500, -40.0157, -105.2793, 96.8484, 99.3219, 104.2688, 109.2158, 114.1628, 119.1098, 124.0568, 129.0038, 133.9508, 138.8978, 143.8447
4, 20, 0.0600, -40.0157, -105.2793, 90.9572, 93.6020, 98.8916, 104.1811, 109.4707, 114.7603, 120.0499, 125.3394, 130.6290, 135.9186, 141.2082
4, 20, 0.0700, -40.0157, -105.2793, 85.7835, 88.5836, 94.1838, 99.7839, 105.3841, 110.9842, 116.5844, 122.1846, 127.7847, 133.3849, 138.9850
4, 20, 0.0800, -40.0157, -105.2793, 81.1730, 84.1147, 89.9981, 95.8815, 101.7649, 107.6483, 113.5317, 119.4150, 125.2984, 131.1818, 137.0652
4, 20, 0.0900, -40.0157, -105.2793, 77.0182, 80.0897, 86.2328, 92.3758, 98.5189, 104.6619, 110.8050, 116.9480, 123.0911, 129.2341, 135.3772
4, 20, 0.1000, -40.0157, -105.2793, 73.2411, 76.4322, 82.8143, 89.1965, 95.5787, 101.9608, 108.3430, 114.7251, 121.1073, 127.4895, 133.8716
4, 20, 0.1500, -40.0157, -105.2793, 58.3535, 62.0252, 69.3686, 76.7120, 84.0555, 91.3989, 98.7423, 106.0858, 113.4292, 120.7726, 128.1160
4, 20, 0.2000, -40.0157, -105.2793, 47.7286, 51.7460, 59.7806, 67.8153, 75.8499, 83.8845, 91.9192, 99.9538, 107.9885, 116.0231, 124.0578
4, 20, 0.2500, -40.0157, -105.2793, 39.6757, 43.9511, 52.5019, 61.0527, 69.6036, 78.1544, 86.7052, 95.2561, 103.8069, 112.3577, 120.9086
4, 20, 0.3000, -40.0157, -105.2793, 33.3492, 37.8214, 46.7659, 55.7104, 64.6549, 73.5994, 82.5439, 91.4885, 100.4330, 109.3775, 118.3220
4, 20, 0.3500, -40.0157, -105.2793, 28.2603, 32.8843, 42.1323, 51.3803, 60.6283, 69.8763, 79.1242, 88.3722, 97.6202, 106.8682, 116.1162
4, 20, 0.4000, -40.0157, -105.2793, 24.0993, 28.8406, 38.3233, 47.8060, 57.2886, 66.7713, 76.2540, 85.7367, 95.2193, 104.7020, 114.1847
4, 20, 0.5000, -40.0157, -105.2793, 17.7848, 22.6854, 32.4866, 42.2878, 52.0890, 61.8902, 71.6914, 81.4926, 91.2938, 101.0950, 110.8962
4, 20, 0.6000, -40.0157, -105.2793, 13.3436, 18.3326, 28.3105, 38.2885, 48.2664, 58.2444, 68.2223, 78.2003, 88.1782, 98.1562, 108.1341
4, 20, 0.7000, -40.0157, -105.2793, 10.1795, 15.2086, 25.2667, 35.3248, 45.3829, 55.4410, 65.4991, 75.5572, 85.6153, 95.6734, 105.7315
4, 20, 0.8000, -40.0157, -105.2793, 7.9255, 12.9606, 23.0307, 33.1008, 43.1709, 53.2410, 63.3112, 73.3813, 83.4514, 93.5215, 103.5916
4, 20, 0.9000, -40.0157, -105.2793, 6.3405, 11.3570, 21.3899, 31.4228, 41.4557, 51.4886, 61.5215, 71.5544, 81.5873, 91.6202, 101.6531
4, 20, 1.0000, -40.0157, -105.2793, 5.2585, 10.2383, 20.1979, 30.1576, 40.1172, 50.0768, 60.0364, 69.9961, 79.9557, 89.9153, 99.8749
4, 20, 1.5000, -40.0157, -105.2793, 4.1645, 8.8191, 18.1283, 27.4375, 36.7467, 46.0559, 55.3651, 64.6743, 73.9835, 83.2927, 92.6019
4, 20, 2.0000, -40.0157, -105.2793, 6.2127, 10.4652, 18.9703, 27.4754, 35.9804, 44.4855, 52.9905, 61.4956, 70.0007, 78.5057, 87.0108
4, 20, 2.5000, -40.0157, -105.2793, 9.0728, 12.9348, 20.6589, 28.3830, 36.1071, 43.8312, 51.5553, 59.2795, 67.0036, 74.7277, 82.4518
4, 20, 3.0000, -40.0157, -105.2793, 11.8987, 15.4103, 22.4333, 29.4564, 36.4794, 43.5025, 50.5255, 57.5485, 64.5716, 71.5946, 78.6177
4, 20, 3.5000, -40.0157, -105.2793, 14.3584, 17.5675, 23.9856, 30.4037, 36.8218, 43.2399, 49.6580, 56.0760, 62.4941, 68.9122, 75.3303
4, 20, 4.0000, -40.0157, -105.2793, 16.3290, 19.2839, 25.1938, 31.1037, 37.0136, 42.9235, 48.8335, 54.7434, 60.6533, 66.5632, 72.4731
4, 20, 5.0000, -40.0157, -105.2793, 18.7271, 21.3067, 26.4660, 31.6252, 36.7844, 41.9436, 47.1029, 52.2621, 57.4213, 62.5805, 67.7398
4, 20, 6.0000, -40.0157, -105.2793, 19.2445, 21.5985, 26.3064, 31.0143, 35.7221, 40.4300, 45.1379, 49.8458, 54.5537, 59.2616, 63.9695
4, 20, 7.0000, -40.0157, -105.2793, 18.2117, 20.4575, 24.9491, 29.4407, 33.9323, 38.4240, 42.9156, 47.4072, 51.8988, 56.3904, 60.8820
4, 20, 8.0000, -40.0157, -105.2793, 15.9613, 18.1890, 22.6443, 27.0997, 31.5550, 36.0103, 40.4656, 44.9210, 49.3763, 53.8316, 58.2869
4, 20, 9.0000, -40.0157, -105.2793, 12.7851, 15.0621, 19.6160, 24.1700, 28.7239, 33.2779, 37.8318, 42.3858, 46.9397, 51.4937, 56.0476
