month,hour,freq,latitude,longitude,Fam5,Fam10,Fam20,Fam30,Fam40,Fam50,Fam60,Fam70,Fam80,Fam90,Fam100
1, 12, 0.0100, -40.0157, -105.2793, 154.0116, 155.1222, 157.3435, 159.5647, 161.7860, 164.0073, 166.2285, 168.4498, 170.6710, 172.8923, 175.1136
1, 12, 0.0150, -40.0157, -105.2793, 140.8841, 142.4974, 145.7239, 148.9504, 152.1770, 155.4035, 158.6300, 161.8565, 165.0831, 168.3096, 171.5361
1, 12, 0.0200, -40.0157, -105.2793, 131.1953, 133.1742, 137.1321, 141.0901, 145.0480, 149.0059, 152.9638, 156.9217, 160.8796, 164.8376, 168.7955
1, 12, 0.0250, -40.0157, -105.2793, 123.4925, 125.7583, 130.2900, 134.8216, 139.3533, 143.8849, 148.4165, 152.9482, 157.4798, 162.0115, 166.5431
1, 12, 0.0300, -40.0157, -105.2793, 117.0933, 119.5944, 124.5966, 129.5988, 134.6010, 139.6032, 144.6054, 149.6076, 154.6098, 159.6120, 164.6142
1, 12, 0.0350, -40.0157, -105.2793, 111.6189, 114.3188, 119.7186, 125.1184, 130.5182, 135.9180, 141.3178, 146.7176, 152.1174, 157.5172, 162.9170
1, 12, 0.0400, -40.0157, -105.2793, 106.8367, 109.7082, 115.4511, 121.1941, 126.9370, 132.6800, 138.4229, 144.1659, 149.9089, 155.6518, 161.3948
1, 12, 0.0500, -40.0157, -105.2793, 98.7794, 101.9350, 108.2462, 114.5573, 120.8685, 127.1797, 133.4908, 139.8020, 146.1132, 152.4243, 158.7355
1, 12, 0.0600, -40.0157, -105.2793, 92.1540, 95.5378, 102.3055, 109.0733, 115.8410, 122.6087, 129.3764, 136.1441, 142.9118, 149.6795, 156.4472
1, 12, 0.0700, -40.0157, -105.2793, 86.5376, 90.1106, 97.2567, 104.4027, 111.5487, 118.6947, 125.8408, 132.9868, 140.1328, 147.2788, 154.4249
1, 12, 0.0800, -40.0157, -105.2793, 81.6718, 85.4050, 92.8715, 100.3380, 107.8045, 115.2710, 122.7375, 130.2040, 137.6705, 145.1369, 152.6034
1, 12, 0.0900, -40.0157, -105.2793, 77.3864, 81.2577, 89.0001, 96.7426, 104.4851, 112.2276, 119.9700, 127.7125, 135.4550, 143.1974, 150.9399
1, 12, 0.1000, -40.0157, -105.2793, 73.5636, 77.5552, 85.5385, 93.5217, 101.5049, 109.4881, 117.4713, 125.4545, 133.4377, 141.4209, 149.4042
1, 12, 0.1500, -40.0157, -105.2793, 59.0356, 63.4564, 72.2982, 81.1399, 89.9816, 98.8233, 107.6651, 116.5068, 125.3485, 134.1903, 143.0320
1, 12, 0.2000, -40.0157, -105.2793, 49.0270, 53.7103, 63.0770, 72.4437, 81.8103, 91.1770, 100.5437, 109.9104, 119.2771, 128.6438, 138.0104
1, 12, 0.2500, -40.0157, -105.2793, 41.5255, 46.3816, 56.0937, 65.8059, 75.5180, 85.2302, 94.9423, 104.6545, 114.3666, 124.0787, 133.7909
1, 12, 0.3000, -40.0157, -105.2793, 35.6170, 40.5906, 50.5376, 60.4846, 70.4317, 80.3787, 90.3257, 100.2728, 110.2198, 120.1668, 130.1139
1, 12, 0.3500, -40.0157, -105.2793, 30.8085, 35.8625, 45.9704, 56.0784, 66.1863, 76.2943, 86.4022, 96.5102, 106.6181, 116.7261, 126.8340
1, 12, 0.4000, -40.0157, -105.2793, 26.8036, 31.9119, 42.1284, 52.3450, 62.5615, 72.7780, 82.9946, 93.2111, 103.4277, 113.6442, 123.8607
1, 12, 0.5000, -40.0157, -105.2793, 20.4977, 25.6614, 35.9889, 46.3164, 56.6438, 66.9713, 77.2988, 87.6262, 97.9537, 108.2812, 118.6087
1, 12, 0.6000, -40.0157, -105.2793, 15.7630, 20.9359, 31.2818, 41.6276, 51.9735, 62.3193, 72.6652, 83.0110, 93.3569, 103.7028, 114.0486
1, 12, 0.7000, -40.0157, -105.2793, 12.0995, 17.2524, 27.5582, 37.8640, 48.1698, 58.4756, 68.7814, 79.0871, 89.3929, 99.6987, 110.0045
1, 12, 0.8000, -40.0157, -105.2793, 9.2093, 14.3228, 24.5497, 34.7766, 45.0035, 55.2303, 65.4572, 75.6841, 85.9110, 96.1379, 106.3648
1, 12, 0.9000, -40.0157, -105.2793, 6.9008, 11.9614, 22.0828, 32.2041, 42.3254, 52.4468, 62.5681, 72.6895, 82.8108, 92.9321, 103.0535
1, 12, 1.0000, -40.0157, -105.2793, 5.0434, 10.0419, 20.0391, 30.0362, 40.0333, 50.0304, 60.0275, 70.0247, 80.0218, 90.0189, 100.0160
