month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
4, 12, 0.0100, -40.0157, -105.2793, 158.2255, 4.1155, 2.5544, 3.4118, 2.2968, 1.8315
4, 12, 0.0150, -40.0157, -105.2793, 149.4119, 7.3549, 7.0025, 4.4998, 2.2184, 2.2095
4, 12, 0.0200, -40.0157, -105.2793, 142.8375, 9.3802, 9.3469, 5.1632, 2.3336, 2.5675
4, 12, 0.0250, -40.0157, -105.2793, 137.5629, 10.7948, 10.7644, 5.6138, 2.4992, 2.8778
4, 12, 0.0300, -40.0157, -105.2793, 133.1451, 11.8497, 11.6916, 5.9401, 2.6741, 3.1442
4, 12, 0.0350, -40.0157, -105.2793, 129.3377, 12.6711, 12.3291, 6.1865, 2.8447, 3.3740
4, 12, 0.0400, -40.0157, -105.2793, 125.9886, 13.3306, 12.7821, 6.3783, 3.0060, 3.5741
4, 12, 0.0500, -40.0157, -105.2793, 120.2929, 14.3261, 13.3534, 6.6539, 3.2974, 3.9049
4, 12, 0.0600, -40.0157, -105.2793, 115.5543, 15.0414, 13.6663, 6.8380, 3.5494, 4.1671
4, 12, 0.0700, -40.0157, -105.2793, 111.4941, 15.5783, 13.8358, 6.9654, 3.7680, 4.3800
4, 12, 0.0800, -40.0157, -105.2793, 107.9411, 15.9937, 13.9198, 7.0553, 3.9591, 4.5561
4, 12, 0.0900, -40.0157, -105.2793, 104.7824, 16.3223, 13.9502, 7.1192, 4.1273, 4.7038
4, 12, 0.1000, -40.0157, -105.2793, 101.9393, 16.5865, 13.9459, 7.1643, 4.2765, 4.8292
4, 12, 0.1500, -40.0157, -105.2793, 90.8817, 17.3484, 13.6984, 7.2369, 4.8250, 5.2431
4, 12, 0.2000, -40.0157, -105.2793, 82.9779, 17.6520, 13.3519, 7.1985, 5.1729, 5.4607
4, 12, 0.2500, -40.0157, -105.2793, 76.8560, 17.7584, 13.0158, 7.1228, 5.4099, 5.5812
4, 12, 0.3000, -40.0157, -105.2793, 71.8849, 17.7650, 12.7103, 7.0343, 5.5783, 5.6468
4, 12, 0.3500, -40.0157, -105.2793, 67.7204, 17.7165, 12.4369, 6.9426, 5.7011, 5.6786
4, 12, 0.4000, -40.0157, -105.2793, 64.1537, 17.6357, 12.1924, 6.8521, 5.7919, 5.6886
4, 12, 0.5000, -40.0157, -105.2793, 58.3091, 17.4240, 11.7752, 6.6811, 5.9096, 5.6688
4, 12, 0.6000, -40.0157, -105.2793, 53.6772, 17.1832, 11.4322, 6.5261, 5.9725, 5.6192
4, 12, 0.7000, -40.0157, -105.2793, 49.8920, 16.9347, 11.1446, 6.3871, 6.0015, 5.5544
4, 12, 0.8000, -40.0157, -105.2793, 46.7319, 16.6879, 10.8990, 6.2624, 6.0082, 5.4819
4, 12, 0.9000, -40.0157, -105.2793, 44.0522, 16.4472, 10.6862, 6.1502, 5.9998, 5.4059
4, 12, 1.0000, -40.0157, -105.2793, 41.7531, 16.2145, 10.4995, 6.0491, 5.9809, 5.3287
4, 12, 1.5000, -40.0157, -105.2793, 33.9872, 15.1794, 9.8174, 5.6664, 5.8076, 4.9578
4, 12, 2.0000, -40.0157, -105.2793, 29.8175, 14.3292, 9.3705, 5.4194, 5.5899, 4.6351
4, 12, 2.5000, -40.0157, -105.2793, 27.5556, 13.6165, 9.0424, 5.2547, 5.3694, 4.3597
4, 12, 3.0000, -40.0157, -105.2793, 26.4311, 13.0062, 8.7831, 5.1442, 5.1579, 4.1235
4, 12, 3.5000, -40.0157, -105.2793, 26.0270, 12.4746, 8.5674, 5.0716, 4.9585, 3.9194
4, 12, 4.0000, -40.0157, -105.2793, 26.0924, 12.0050, 8.3811, 5.0268, 4.7716, 3.7416
4, 12, 5.0000, -40.0157, -105.2793, 27.0366, 11.2074, 8.0652, 4.9951, 4.4325, 3.4476
4, 12, 6.0000, -40.0157, -105.2793, 28.4862, 10.5497, 7.7963, 5.0155, 4.1337, 3.2161
4, 12, 7.0000, -40.0157, -105.2793, 30.0444, 9.9939, 7.5561, 5.0699, 3.8682, 3.0309
4, 12, 8.0000, -40.0157, -105.2793, 31.4926, 9.5156, 7.3347, 5.1474, 3.6304, 2.8814
4, 12, 9.0000, -40.0157, -105.2793, 32.7064, 9.0979, 7.1264, 5.2411, 3.4159, 2.7598
4, 12, 10.0000, -40.0157, -105.2793, 33.6156, 8.7292, 6.9276, 5.3467, 3.2210, 2.6608
4, 12, 15.0000, -40.0157, -105.2793, 32.8621, 7.3749, 6.0173, 5.3467, 2.4603, 2.3905
4, 12, 20.0000, -40.0157, -105.2793, 24.0010, 6.5048, 5.1833, 5.3467, 1.9306, 2.3377
4, 12, 25.0000, -40.0157, -105.2793, 9.4874, 6.5048, 5.1833, 5.3467, 1.9306, 2.3377
4, 12, 30.0000, -40.0157, -105.2793, -7.9418, 6.5048, 5.1833, 5.3467, 1.9306, 2.3377
