month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
10, 16, 0.0100, -40.0157, -105.2793, 155.6680, 4.3778, 2.9972, 2.0055, 3.1732, 1.8599
10, 16, 0.0150, -40.0157, -105.2793, 147.0303, 6.6076, 6.0623, 3.4655, 2.6558, 2.3216
10, 16, 0.0200, -40.0157, -105.2793, 140.7763, 8.1514, 7.9040, 4.2814, 2.5598, 2.6971
10, 16, 0.0250, -40.0157, -105.2793, 135.8528, 9.3102, 9.1463, 4.7954, 2.6001, 3.0021
10, 16, 0.0300, -40.0157, -105.2793, 131.7794, 10.2243, 10.0461, 5.1424, 2.6914, 3.2543
10, 16, 0.0350, -40.0157, -105.2793, 128.2974, 10.9701, 10.7300, 5.3873, 2.8017, 3.4665
10, 16, 0.0400, -40.0157, -105.2793, 125.2518, 11.5939, 11.2683, 5.5654, 2.9173, 3.6477
10, 16, 0.0500, -40.0157, -105.2793, 120.1006, 12.5849, 12.0622, 5.7966, 3.1431, 3.9410
10, 16, 0.0600, -40.0157, -105.2793, 115.8364, 13.3426, 12.6190, 5.9280, 3.3494, 4.1684
10, 16, 0.0700, -40.0157, -105.2793, 112.1958, 13.9436, 13.0300, 6.0020, 3.5337, 4.3494
10, 16, 0.0800, -40.0157, -105.2793, 109.0197, 14.4332, 13.3445, 6.0405, 3.6971, 4.4965
10, 16, 0.0900, -40.0157, -105.2793, 106.2043, 14.8400, 13.5917, 6.0562, 3.8423, 4.6179
10, 16, 0.1000, -40.0157, -105.2793, 103.6778, 15.1834, 13.7901, 6.0567, 3.9714, 4.7192
10, 16, 0.1500, -40.0157, -105.2793, 93.9431, 16.3147, 14.3700, 5.9530, 4.4426, 5.0380
10, 16, 0.2000, -40.0157, -105.2793, 87.1143, 16.9245, 14.6237, 5.7957, 4.7296, 5.1877
10, 16, 0.2500, -40.0157, -105.2793, 81.9326, 17.2822, 14.7411, 5.6370, 4.9125, 5.2562
10, 16, 0.3000, -40.0157, -105.2793, 77.8133, 17.4979, 14.7899, 5.4892, 5.0313, 5.2802
10, 16, 0.3500, -40.0157, -105.2793, 74.4348, 17.6258, 14.8000, 5.3543, 5.1079, 5.2777
10, 16, 0.4000, -40.0157, -105.2793, 71.6013, 17.6961, 14.7868, 5.2320, 5.1555, 5.2588
10, 16, 0.5000, -40.0157, -105.2793, 67.0955, 17.7289, 14.7211, 5.0203, 5.1943, 5.1926
10, 16, 0.6000, -40.0157, -105.2793, 63.6626, 17.6774, 14.6280, 4.8443, 5.1873, 5.1073
10, 16, 0.7000, -40.0157, -105.2793, 60.9603, 17.5790, 14.5223, 4.6959, 5.1540, 5.0142
10, 16, 0.8000, -40.0157, -105.2793, 58.7825, 17.4536, 14.4109, 4.5693, 5.1051, 4.9187
10, 16, 0.9000, -40.0157, -105.2793, 56.9962, 17.3122, 14.2973, 4.4602, 5.0470, 4.8237
10, 16, 1.0000, -40.0157, -105.2793, 55.5103, 17.1616, 14.1833, 4.3652, 4.9833, 4.7305
10, 16, 1.5000, -40.0157, -105.2793, 50.8206, 16.3746, 13.6331, 4.0334, 4.6447, 4.3092
10, 16, 2.0000, -40.0157, -105.2793, 48.4504, 15.6251, 13.1284, 3.8419, 4.3291, 3.9628
10, 16, 2.5000, -40.0157, -105.2793, 47.0563, 14.9415, 12.6656, 3.7256, 4.0537, 3.6769
10, 16, 3.0000, -40.0157, -105.2793, 46.1070, 14.3210, 12.2372, 3.6548, 3.8165, 3.4380
10, 16, 3.5000, -40.0157, -105.2793, 45.3638, 13.7558, 11.8371, 3.6137, 3.6125, 3.2356
10, 16, 4.0000, -40.0157, -105.2793, 44.7145, 13.2382, 11.4609, 3.5931, 3.4365, 3.0624
10, 16, 5.0000, -40.0157, -105.2793, 43.5253, 12.3206, 10.7664, 3.5922, 3.1524, 2.7829
10, 16, 6.0000, -40.0157, -105.2793, 42.4270, 11.5279, 10.1335, 3.6251, 2.9382, 2.5695
10, 16, 7.0000, -40.0157, -105.2793, 41.4486, 10.8326, 9.5494, 3.6783, 2.7764, 2.4041
10, 16, 8.0000, -40.0157, -105.2793, 40.5849, 10.2154, 9.0052, 3.7445, 2.6550, 2.2746
10, 16, 9.0000, -40.0157, -105.2793, 39.7539, 9.6623, 8.4945, 3.8191, 2.5653, 2.1731
10, 16, 10.0000, -40.0157, -105.2793, 38.8393, 9.1630, 8.0126, 3.8994, 2.5012, 2.0938
10, 16, 15.0000, -40.0157, -105.2793, 30.6973, 7.2438, 5.9288, 3.8994, 2.4311, 1.9123
10, 16, 20.0000, -40.0157, -105.2793, 16.2769, 5.9549, 4.2292, 3.8994, 2.5966, 1.9316
10, 16, 25.0000, -40.0157, -105.2793, -1.5488, 5.9549, 4.2292, 3.8994, 2.5966, 1.9316
10, 16, 30.0000, -40.0157, -105.2793, -18.2035, 5.9549, 4.2292, 3.8994, 2.5966, 1.9316
