month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
1, 12, 0.0100, 40.0157, -105.2793, 157.8426, 0.5055, 2.0763, 1.6194, 0.9261, 1.2521
1, 12, 0.0150, 40.0157, -105.2793, 147.5164, 6.2498, 5.6250, 4.3854, 1.4609, 1.3299
1, 12, 0.0200, 40.0157, -105.2793, 140.0239, 9.1486, 7.2382, 5.6936, 1.9474, 1.4770
1, 12, 0.0250, 40.0157, -105.2793, 134.1435, 10.8267, 8.0675, 6.3977, 2.3603, 1.6301
1, 12, 0.0300, 40.0157, -105.2793, 129.3081, 11.8750, 8.5145, 6.8006, 2.7094, 1.7745
1, 12, 0.0350, 40.0157, -105.2793, 125.2061, 12.5600, 8.7536, 7.0357, 3.0069, 1.9069
1, 12, 0.0400, 40.0157, -105.2793, 121.6475, 13.0191, 8.8713, 7.1703, 3.2631, 2.0273
1, 12, 0.0500, 40.0157, -105.2793, 115.7008, 13.5400, 8.9111, 7.2716, 3.6810, 2.2364
1, 12, 0.0600, 40.0157, -105.2793, 110.8524, 13.7666, 8.8240, 7.2574, 4.0068, 2.4108
1, 12, 0.0700, 40.0157, -105.2793, 106.7675, 13.8388, 8.6842, 7.1898, 4.2673, 2.5583
1, 12, 0.0800, 40.0157, -105.2793, 103.2439, 13.8250, 8.5243, 7.0971, 4.4797, 2.6846
1, 12, 0.0900, 40.0157, -105.2793, 100.1497, 13.7614, 8.3597, 6.9936, 4.6555, 2.7940
1, 12, 0.1000, 40.0157, -105.2793, 97.3944, 13.6687, 8.1980, 6.8867, 4.8027, 2.8897
1, 12, 0.1500, 40.0157, -105.2793, 86.9231, 13.0683, 7.5064, 6.3911, 5.2707, 3.2301
1, 12, 0.2000, 40.0157, -105.2793, 79.6400, 12.4868, 7.0111, 6.0043, 5.4983, 3.4361
1, 12, 0.2500, 40.0157, -105.2793, 74.0836, 11.9923, 6.6582, 5.7101, 5.6113, 3.5706
1, 12, 0.3000, 40.0157, -105.2793, 69.6077, 11.5792, 6.4033, 5.4839, 5.6618, 3.6623
1, 12, 0.3500, 40.0157, -105.2793, 65.8707, 11.2329, 6.2171, 5.3077, 5.6754, 3.7261
1, 12, 0.4000, 40.0157, -105.2793, 62.6709, 10.9401, 6.0804, 5.1688, 5.6661, 3.7708
1, 12, 0.5000, 40.0157, -105.2793, 57.4092, 10.4755, 5.9074, 4.9698, 5.6082, 3.8229
1, 12, 0.6000, 40.0157, -105.2793, 53.2021, 10.1267, 5.8204, 4.8416, 5.5239, 3.8440
1, 12, 0.7000, 40.0157, -105.2793, 49.7234, 9.8579, 5.7857, 4.7593, 5.4287, 3.8466
1, 12, 0.8000, 40.0157, -105.2793, 46.7806, 9.6466, 5.7841, 4.7078, 5.3301, 3.8377
1, 12, 0.9000, 40.0157, -105.2793, 44.2503, 9.4776, 5.8038, 4.6780, 5.2318, 3.8212
1, 12, 1.0000, 40.0157, -105.2793, 42.0485, 9.3408, 5.8377, 4.6635, 5.1359, 3.7997
1, 12, 1.5000, 40.0157, -105.2793, 34.3214, 8.9413, 6.0920, 4.7109, 4.7128, 3.6599
1, 12, 2.0000, 40.0157, -105.2793, 29.8918, 8.7721, 6.3609, 4.8324, 4.3845, 3.5097
1, 12, 2.5000, 40.0157, -105.2793, 27.3368, 8.6949, 6.5929, 4.9650, 4.1317, 3.3677
1, 12, 3.0000, 40.0157, -105.2793, 25.9779, 8.6578, 6.7807, 5.0903, 3.9365, 3.2374
1, 12, 3.5000, 40.0157, -105.2793, 25.4268, 8.6382, 6.9271, 5.2027, 3.7857, 3.1187
1, 12, 4.0000, 40.0157, -105.2793, 25.4366, 8.6252, 7.0370, 5.3010, 3.6698, 3.0105
1, 12, 5.0000, 40.0157, -105.2793, 26.5128, 8.5990, 7.1664, 5.4571, 3.5168, 2.8215
1, 12, 6.0000, 40.0157, -105.2793, 28.3430, 8.5596, 7.2012, 5.5663, 3.4399, 2.6620
1, 12, 7.0000, 40.0157, -105.2793, 30.4410, 8.5025, 7.1646, 5.6373, 3.4169, 2.5259
1, 12, 8.0000, 40.0157, -105.2793, 32.5132, 8.4276, 7.0731, 5.6771, 3.4333, 2.4086
1, 12, 9.0000, 40.0157, -105.2793, 34.3766, 8.3363, 6.9385, 5.6912, 3.4796, 2.3065
1, 12, 10.0000, 40.0157, -105.2793, 35.9166, 8.2305, 6.7698, 5.6842, 3.5488, 2.2171
1, 12, 15.0000, 40.0157, -105.2793, 37.1735, 7.5402, 5.6000, 5.6842, 4.1050, 1.9030
1, 12, 20.0000, 40.0157, -105.2793, 27.7218, 6.6832, 4.1445, 5.6842, 4.8355, 1.7257
1, 12, 25.0000, 40.0157, -105.2793, 10.4663, 6.6832, 4.1445, 5.6842, 4.8355, 1.7257
1, 12, 30.0000, 40.0157, -105.2793, -10.6897, 6.6832, 4.1445, 5.6842, 4.8355, 1.7257
