month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
7, 14, 0.01, 40.0157, -105.2793, 169.8537, 6.1249, 4.7751, 4.0588, 2.1671, 2.1671
7, 14, 0.01, 40.0157, -105.2793, 164.0262, 5.6881, 4.7055, 3.5262, 1.6705, 1.6705
7, 14, 0.02, 40.0157, -105.2793, 159.6484, 5.9816, 5.2139, 3.5487, 1.5806, 1.5806
7, 14, 0.03, 40.0157, -105.2793, 156.1114, 6.4811, 5.8488, 3.7407, 1.6339, 1.6339
7, 14, 0.03, 40.0157, -105.2793, 153.1288, 7.0320, 6.4881, 3.9862, 1.7447, 1.7447
7, 14, 0.35, 40.0157, -105.2793, 105.2277, 17.3370, 15.8357, 8.5361, 5.3705, 5.3705
7, 14, 0.04, 40.0157, -105.2793, 148.2520, 8.1050, 7.6574, 4.4948, 2.0211, 2.0211
7, 14, 0.05, 40.0157, -105.2793, 144.3251, 9.0638, 8.6527, 4.9596, 2.3037, 2.3037
7, 14, 0.06, 40.0157, -105.2793, 141.0233, 9.9018, 9.4949, 5.3664, 2.5680, 2.5680
7, 14, 0.07, 40.0157, -105.2793, 138.1667, 10.6341, 10.2126, 5.7194, 2.8091, 2.8091
7, 14, 0.08, 40.0157, -105.2793, 135.6446, 11.2776, 10.8299, 6.0266, 3.0277, 3.0277
7, 14, 0.09, 40.0157, -105.2793, 133.3838, 11.8470, 11.3656, 6.2951, 3.2257, 3.2257
7, 14, 0.10, 40.0157, -105.2793, 131.3331, 12.3541, 11.8345, 6.5312, 3.4056, 3.4056
7, 14, 0.15, 40.0157, -105.2793, 123.2025, 14.2358, 13.4988, 7.3735, 4.1008, 4.1008
7, 14, 0.02, 40.0157, -105.2793, 159.6484, 5.9816, 5.2139, 3.5487, 1.5806, 1.5806
7, 14, 0.25, 40.0157, -105.2793, 112.4867, 16.2847, 15.1297, 8.1935, 4.9148, 4.9148
7, 14, 0.30, 40.0157, -105.2793, 108.5663, 16.8888, 15.5520, 8.4006, 5.1716, 5.1716
7, 14, 0.35, 40.0157, -105.2793, 105.2277, 17.3370, 15.8357, 8.5361, 5.3705, 5.3705
7, 14, 0.40, 40.0157, -105.2793, 102.3263, 17.6754, 16.0250, 8.6227, 5.5278, 5.5278
7, 14, 0.50, 40.0157, -105.2793, 97.4803, 18.1307, 16.2209, 8.7022, 5.7565, 5.7565
7, 14, 0.60, 40.0157, -105.2793, 93.5468, 18.3951, 16.2671, 8.7055, 5.9092, 5.9092
7, 14, 0.70, 40.0157, -105.2793, 90.2572, 18.5401, 16.2261, 8.6652, 6.0127, 6.0127
7, 14, 0.80, 40.0157, -105.2793, 87.4452, 18.6060, 16.1317, 8.5986, 6.0828, 6.0828
7, 14, 0.90, 40.0157, -105.2793, 85.0003, 18.6176, 16.0037, 8.5162, 6.1289, 6.1289
7, 14, 1.00, 40.0157, -105.2793, 82.8453, 18.5908, 15.8543, 8.4241, 6.1576, 6.1576
7, 14, 1.50, 40.0157, -105.2793, 74.8816, 18.1600, 14.9872, 7.9208, 6.1532, 6.1532
7, 14, 2.00, 40.0157, -105.2793, 69.5796, 17.5459, 14.1154, 7.4412, 6.0375, 6.0375
7, 14, 2.50, 40.0157, -105.2793, 65.6714, 16.9022, 13.3136, 7.0179, 5.8830, 5.8830
7, 14, 3.00, 40.0157, -105.2793, 62.6064, 16.2745, 12.5898, 6.6509, 5.7151, 5.7151
7, 14, 3.50, 40.0157, -105.2793, 60.0992, 15.6774, 11.9381, 6.3344, 5.5443, 5.5443
7, 14, 4.00, 40.0157, -105.2793, 57.9846, 15.1145, 11.3498, 6.0619, 5.3754, 5.3754
7, 14, 5.00, 40.0157, -105.2793, 54.5538, 14.0888, 10.3323, 5.6268, 5.0513, 5.0513
7, 14, 6.00, 40.0157, -105.2793, 51.8281, 13.1820, 9.4849, 5.3103, 4.7494, 4.7494
7, 14, 7.00, 40.0157, -105.2793, 49.5648, 12.3755, 8.7702, 5.0881, 4.4700, 4.4700
7, 14, 8.00, 40.0157, -105.2793, 47.6302, 11.6531, 8.1613, 4.9430, 4.2114, 4.2114
7, 14, 9.00, 40.0157, -105.2793, 45.9438, 11.0017, 7.6389, 4.8626, 3.9717, 3.9717
7, 14, 10.00, 40.0157, -105.2793, 44.4510, 10.4109, 7.1882, 4.8378, 3.7492, 3.7492
7, 14, 15.00, 40.0157, -105.2793, 38.3359, 8.1175, 5.6899, 4.8378, 2.8416, 2.8416
7, 14, 20.00, 40.0157, -105.2793, 31.0053, 6.5413, 4.9817, 4.8378, 2.1845, 2.1845
7, 14, 25.00, 40.0157, -105.2793, 20.6521, 6.5413, 4.9817, 4.8378, 2.1845, 2.1845
7, 14, 30.00, 40.0157, -105.2793, 7.8917, 6.5413, 4.9817, 4.8378, 2.1845, 2.1845
