month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
1, 18, 0.01, 40.0157, -105.2793, 155.8208, 2.4976, 2.8011, 2.1542, 0.5293, 0.5293
1, 18, 0.01, 40.0157, -105.2793, 147.8230, 5.4719, 5.2259, 3.1401, 1.4531, 1.4531
1, 18, 0.02, 40.0157, -105.2793, 141.9638, 7.2692, 6.5738, 3.7322, 2.0515, 2.0515
1, 18, 0.03, 40.0157, -105.2793, 137.3281, 8.4888, 7.4344, 4.1214, 2.4761, 2.4761
1, 18, 0.03, 40.0157, -105.2793, 133.4893, 9.3764, 8.0310, 4.3947, 2.7945, 2.7945
1, 18, 0.35, 40.0157, -105.2793, 81.5423, 13.9111, 10.6726, 5.3443, 4.2701, 4.2701
1, 18, 0.04, 40.0157, -105.2793, 127.3539, 10.5874, 8.8011, 4.7493, 3.2410, 3.2410
1, 18, 0.05, 40.0157, -105.2793, 122.5433, 11.3761, 9.2729, 4.9653, 3.5378, 3.5378
1, 18, 0.06, 40.0157, -105.2793, 118.5897, 11.9291, 9.5884, 5.1075, 3.7471, 3.7471
1, 18, 0.07, 40.0157, -105.2793, 115.2377, 12.3360, 9.8121, 5.2058, 3.9004, 3.9004
1, 18, 0.08, 40.0157, -105.2793, 112.3318, 12.6459, 9.9775, 5.2760, 4.0156, 4.0156
1, 18, 0.09, 40.0157, -105.2793, 109.7705, 12.8879, 10.1035, 5.3272, 4.1037, 4.1037
1, 18, 0.10, 40.0157, -105.2793, 107.4833, 13.0803, 10.2021, 5.3650, 4.1718, 4.1718
1, 18, 0.15, 40.0157, -105.2793, 98.7620, 13.6252, 10.4752, 5.4466, 4.3421, 4.3421
1, 18, 0.02, 40.0157, -105.2793, 141.9638, 7.2692, 6.5738, 3.7322, 2.0515, 2.0515
1, 18, 0.25, 40.0157, -105.2793, 88.1474, 13.9204, 10.6400, 5.4241, 4.3617, 4.3617
1, 18, 0.30, 40.0157, -105.2793, 84.5211, 13.9337, 10.6638, 5.3867, 4.3214, 4.3214
1, 18, 0.35, 40.0157, -105.2793, 81.5423, 13.9111, 10.6726, 5.3443, 4.2701, 4.2701
1, 18, 0.40, 40.0157, -105.2793, 79.0352, 13.8678, 10.6725, 5.3000, 4.2140, 4.2140
1, 18, 0.50, 40.0157, -105.2793, 75.0158, 13.7492, 10.6575, 5.2118, 4.0987, 4.0987
1, 18, 0.60, 40.0157, -105.2793, 71.9068, 13.6120, 10.6319, 5.1278, 3.9873, 3.9873
1, 18, 0.70, 40.0157, -105.2793, 69.4121, 13.4693, 10.6007, 5.0497, 3.8834, 3.8834
1, 18, 0.80, 40.0157, -105.2793, 67.3557, 13.3269, 10.5661, 4.9775, 3.7875, 3.7875
1, 18, 0.90, 40.0157, -105.2793, 65.6254, 13.1874, 10.5293, 4.9110, 3.6995, 3.6995
1, 18, 1.00, 40.0157, -105.2793, 64.1451, 13.0519, 10.4910, 4.8497, 3.6189, 3.6189
1, 18, 1.50, 40.0157, -105.2793, 59.0432, 12.4398, 10.2869, 4.6042, 3.3044, 3.3044
1, 18, 2.00, 40.0157, -105.2793, 55.9578, 11.9219, 10.0729, 4.4299, 3.0938, 3.0938
1, 18, 2.50, 40.0157, -105.2793, 53.8112, 11.4736, 9.8554, 4.3001, 2.9496, 2.9496
1, 18, 3.00, 40.0157, -105.2793, 52.1678, 11.0771, 9.6370, 4.2002, 2.8505, 2.8505
1, 18, 3.50, 40.0157, -105.2793, 50.8184, 10.7205, 9.4190, 4.1213, 2.7836, 2.7836
1, 18, 4.00, 40.0157, -105.2793, 49.6518, 10.3953, 9.2023, 4.0577, 2.7408, 2.7408
1, 18, 5.00, 40.0157, -105.2793, 47.6394, 9.8175, 8.7747, 3.9632, 2.7063, 2.7063
1, 18, 6.00, 40.0157, -105.2793, 45.8684, 9.3121, 8.3562, 3.8983, 2.7187, 2.7187
1, 18, 7.00, 40.0157, -105.2793, 44.2324, 8.8604, 7.9474, 3.8533, 2.7623, 2.7623
1, 18, 8.00, 40.0157, -105.2793, 42.6777, 8.4503, 7.5482, 3.8226, 2.8278, 2.8278
1, 18, 9.00, 40.0157, -105.2793, 41.1683, 8.0735, 7.1585, 3.8026, 2.9089, 2.9089
1, 18, 10.00, 40.0157, -105.2793, 39.6743, 7.7238, 6.7777, 3.7911, 3.0016, 3.0016
1, 18, 15.00, 40.0157, -105.2793, 31.6544, 6.2603, 4.9948, 3.7911, 3.5616, 3.5616
1, 18, 20.00, 40.0157, -105.2793, 21.7736, 5.0969, 3.3787, 3.7911, 4.1885, 4.1885
1, 18, 25.00, 40.0157, -105.2793, 9.9656, 5.0969, 3.3787, 3.7911, 4.1885, 4.1885
1, 18, 30.00, 40.0157, -105.2793, -3.3069, 5.0969, 3.3787, 3.7911, 4.1885, 4.1885
