month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
1, 2, 0.01, 40.0157, -105.2793, 155.7189, 3.5870, 3.3607, 2.0672, 1.4942, 1.4942
1, 2, 0.01, 40.0157, -105.2793, 149.3308, 4.2085, 3.8236, 2.2191, 1.1586, 1.1586
1, 2, 0.02, 40.0157, -105.2793, 144.4448, 4.8194, 4.2606, 2.4787, 1.1264, 1.1264
1, 2, 0.03, 40.0157, -105.2793, 140.4551, 5.3594, 4.6415, 2.7374, 1.1912, 1.1912
1, 2, 0.03, 40.0157, -105.2793, 137.0690, 5.8294, 4.9708, 2.9728, 1.2898, 1.2898
1, 2, 0.35, 40.0157, -105.2793, 85.3132, 10.8588, 8.4636, 5.1076, 3.2943, 3.2943
1, 2, 0.04, 40.0157, -105.2793, 131.5058, 6.6001, 5.5080, 3.3673, 1.5078, 1.5078
1, 2, 0.05, 40.0157, -105.2793, 127.0180, 7.2039, 5.9274, 3.6764, 1.7133, 1.7133
1, 2, 0.06, 40.0157, -105.2793, 123.2509, 7.6901, 6.2646, 3.9219, 1.8952, 1.8952
1, 2, 0.07, 40.0157, -105.2793, 120.0037, 8.0906, 6.5420, 4.1198, 2.0540, 2.0540
1, 2, 0.08, 40.0157, -105.2793, 117.1510, 8.4262, 6.7745, 4.2817, 2.1923, 2.1923
1, 2, 0.09, 40.0157, -105.2793, 114.6088, 8.7117, 6.9722, 4.4155, 2.3133, 2.3133
1, 2, 0.10, 40.0157, -105.2793, 112.3177, 8.9573, 7.1423, 4.5273, 2.4195, 2.4195
1, 2, 0.15, 40.0157, -105.2793, 103.4177, 9.7976, 7.7250, 4.8752, 2.7961, 2.7961
1, 2, 0.02, 40.0157, -105.2793, 144.4448, 4.8194, 4.2606, 2.4787, 1.1264, 1.1264
1, 2, 0.25, 40.0157, -105.2793, 92.3092, 10.5638, 8.2577, 5.0992, 3.1533, 3.1533
1, 2, 0.30, 40.0157, -105.2793, 88.4713, 10.7456, 8.3845, 5.1174, 3.2398, 3.2398
1, 2, 0.35, 40.0157, -105.2793, 85.3132, 10.8588, 8.4636, 5.1076, 3.2943, 3.2943
1, 2, 0.40, 40.0157, -105.2793, 82.6567, 10.9260, 8.5106, 5.0811, 3.3274, 3.3274
1, 2, 0.50, 40.0157, -105.2793, 78.4141, 10.9735, 8.5438, 5.0014, 3.3531, 3.3531
1, 2, 0.60, 40.0157, -105.2793, 75.1608, 10.9515, 8.5281, 4.9060, 3.3469, 3.3469
1, 2, 0.70, 40.0157, -105.2793, 72.5795, 10.8902, 8.4844, 4.8067, 3.3233, 3.3233
1, 2, 0.80, 40.0157, -105.2793, 70.4788, 10.8057, 8.4242, 4.7087, 3.2899, 3.2899
1, 2, 0.90, 40.0157, -105.2793, 68.7347, 10.7074, 8.3540, 4.6144, 3.2510, 3.2510
1, 2, 1.00, 40.0157, -105.2793, 67.2630, 10.6009, 8.2777, 4.5251, 3.2093, 3.2093
1, 2, 1.50, 40.0157, -105.2793, 62.3615, 10.0346, 7.8687, 4.1565, 2.9976, 2.9976
1, 2, 2.00, 40.0157, -105.2793, 59.5105, 9.4943, 7.4739, 3.8996, 2.8132, 2.8132
1, 2, 2.50, 40.0157, -105.2793, 57.5066, 9.0060, 7.1132, 3.7243, 2.6627, 2.6627
1, 2, 3.00, 40.0157, -105.2793, 55.8789, 8.5684, 6.7868, 3.6085, 2.5422, 2.5422
1, 2, 3.50, 40.0157, -105.2793, 54.4133, 8.1754, 6.4908, 3.5374, 2.4465, 2.4465
1, 2, 4.00, 40.0157, -105.2793, 53.0047, 7.8206, 6.2211, 3.5006, 2.3714, 2.3714
1, 2, 5.00, 40.0157, -105.2793, 50.1712, 7.2048, 5.7469, 3.5023, 2.2694, 2.2694
1, 2, 6.00, 40.0157, -105.2793, 47.2015, 6.6878, 5.3419, 3.5748, 2.2159, 2.2159
1, 2, 7.00, 40.0157, -105.2793, 44.0702, 6.2467, 4.9905, 3.6955, 2.1978, 2.1978
1, 2, 8.00, 40.0157, -105.2793, 40.7984, 5.8655, 4.6817, 3.8504, 2.2065, 2.2065
1, 2, 9.00, 40.0157, -105.2793, 37.4201, 5.5326, 4.4076, 4.0302, 2.2358, 2.2358
1, 2, 10.00, 40.0157, -105.2793, 33.9702, 5.2395, 4.1621, 4.2284, 2.2813, 2.2813
1, 2, 15.00, 40.0157, -105.2793, 16.6083, 4.1856, 3.2346, 4.2284, 2.6613, 2.6613
1, 2, 20.00, 40.0157, -105.2793, 0.5414, 3.5526, 2.6189, 4.2284, 3.1739, 3.1739
1, 2, 25.00, 40.0157, -105.2793, -13.4235, 3.5526, 2.6189, 4.2284, 3.1739, 3.1739
1, 2, 30.00, 40.0157, -105.2793, -25.2735, 3.5526, 2.6189, 4.2284, 3.1739, 3.1739
