month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
4, 2, 0.01, 40.0157, -105.2793, 160.0486, 4.5006, 4.2433, 2.8047, 2.6502, 2.6502
4, 2, 0.01, 40.0157, -105.2793, 154.2595, 4.9529, 5.1473, 3.0592, 2.4666, 2.4666
4, 2, 0.02, 40.0157, -105.2793, 149.8487, 5.4455, 5.7841, 3.2369, 2.4232, 2.4232
4, 2, 0.03, 40.0157, -105.2793, 146.2565, 5.8952, 6.2672, 3.3683, 2.4264, 2.4264
4, 2, 0.03, 40.0157, -105.2793, 143.2135, 6.2928, 6.6511, 3.4696, 2.4472, 2.4472
4, 2, 0.35, 40.0157, -105.2793, 96.6300, 10.5864, 9.8359, 3.9362, 2.8684, 2.8684
4, 2, 0.04, 40.0157, -105.2793, 138.2237, 6.9519, 7.2309, 3.6152, 2.5038, 2.5038
4, 2, 0.05, 40.0157, -105.2793, 134.2053, 7.4722, 7.6537, 3.7140, 2.5606, 2.5606
4, 2, 0.06, 40.0157, -105.2793, 130.8352, 7.8924, 7.9787, 3.7844, 2.6111, 2.6111
4, 2, 0.07, 40.0157, -105.2793, 127.9316, 8.2388, 8.2377, 3.8363, 2.6545, 2.6545
4, 2, 0.08, 40.0157, -105.2793, 125.3809, 8.5291, 8.4492, 3.8753, 2.6915, 2.6915
4, 2, 0.09, 40.0157, -105.2793, 123.1075, 8.7758, 8.6256, 3.9050, 2.7230, 2.7230
4, 2, 0.10, 40.0157, -105.2793, 121.0579, 8.9877, 8.7747, 3.9278, 2.7497, 2.7497
4, 2, 0.15, 40.0157, -105.2793, 113.0801, 9.7088, 9.2677, 3.9823, 2.8337, 2.8337
4, 2, 0.02, 40.0157, -105.2793, 149.8487, 5.4455, 5.7841, 3.2369, 2.4232, 2.4232
4, 2, 0.25, 40.0157, -105.2793, 103.0437, 10.3521, 9.6894, 3.9783, 2.8807, 2.8807
4, 2, 0.30, 40.0157, -105.2793, 99.5378, 10.4988, 9.7821, 3.9590, 2.8785, 2.8785
4, 2, 0.35, 40.0157, -105.2793, 96.6300, 10.5864, 9.8359, 3.9362, 2.8684, 2.8684
4, 2, 0.40, 40.0157, -105.2793, 94.1633, 10.6347, 9.8638, 3.9122, 2.8535, 2.8535
4, 2, 0.50, 40.0157, -105.2793, 90.1721, 10.6576, 9.8716, 3.8643, 2.8164, 2.8164
4, 2, 0.60, 40.0157, -105.2793, 87.0534, 10.6224, 9.8414, 3.8195, 2.7754, 2.7754
4, 2, 0.70, 40.0157, -105.2793, 84.5295, 10.5553, 9.7899, 3.7787, 2.7337, 2.7337
4, 2, 0.80, 40.0157, -105.2793, 82.4331, 10.4699, 9.7262, 3.7419, 2.6931, 2.6931
4, 2, 0.90, 40.0157, -105.2793, 80.6560, 10.3741, 9.6552, 3.7090, 2.6541, 2.6541
4, 2, 1.00, 40.0157, -105.2793, 79.1243, 10.2726, 9.5800, 3.6796, 2.6171, 2.6171
4, 2, 1.50, 40.0157, -105.2793, 73.7217, 9.7514, 9.1883, 3.5733, 2.4625, 2.4625
4, 2, 2.00, 40.0157, -105.2793, 70.2768, 9.2701, 8.8141, 3.5143, 2.3503, 2.3503
4, 2, 2.50, 40.0157, -105.2793, 67.7161, 8.8446, 8.4705, 3.4846, 2.2690, 2.2690
4, 2, 3.00, 40.0157, -105.2793, 65.6078, 8.4700, 8.1564, 3.4745, 2.2105, 2.2105
4, 2, 3.50, 40.0157, -105.2793, 63.7481, 8.1389, 7.8683, 3.4782, 2.1691, 2.1691
4, 2, 4.00, 40.0157, -105.2793, 62.0308, 7.8444, 7.6025, 3.4919, 2.1411, 2.1411
4, 2, 5.00, 40.0157, -105.2793, 58.8138, 7.3440, 7.1262, 3.5401, 2.1145, 2.1145
4, 2, 6.00, 40.0157, -105.2793, 55.7264, 6.9353, 6.7089, 3.6065, 2.1161, 2.1161
4, 2, 7.00, 40.0157, -105.2793, 52.6902, 6.5962, 6.3374, 3.6843, 2.1373, 2.1373
4, 2, 8.00, 40.0157, -105.2793, 49.6807, 6.3112, 6.0026, 3.7695, 2.1725, 2.1725
4, 2, 9.00, 40.0157, -105.2793, 46.6936, 6.0696, 5.6979, 3.8596, 2.2182, 2.2182
4, 2, 10.00, 40.0157, -105.2793, 43.7324, 5.8634, 5.4184, 3.9530, 2.2718, 2.2718
4, 2, 15.00, 40.0157, -105.2793, 29.4933, 5.1917, 4.2877, 3.9530, 2.6095, 2.6095
4, 2, 20.00, 40.0157, -105.2793, 16.4073, 4.8790, 3.4424, 3.9530, 3.0001, 3.0001
4, 2, 25.00, 40.0157, -105.2793, 4.3128, 4.8790, 3.4424, 3.9530, 3.0001, 3.0001
4, 2, 30.00, 40.0157, -105.2793, -7.2557, 4.8790, 3.4424, 3.9530, 3.0001, 3.0001
