month,hour,freq,latitude,longitude,FaA,DuA,DlA,sigmaFaA,sigmaDuA,sigmaDlA
4, 14, 0.01, 40.0157, -105.2793, 162.4370, 3.6571, 2.7812, 2.7601, 2.9400, 2.9400
4, 14, 0.01, 40.0157, -105.2793, 154.7447, 7.0155, 6.5840, 3.7766, 2.5731, 2.5731
4, 14, 0.02, 40.0157, -105.2793, 149.0650, 9.1301, 8.7547, 4.4669, 2.5814, 2.5814
4, 14, 0.03, 40.0157, -105.2793, 144.5403, 10.6090, 10.1666, 4.9660, 2.7070, 2.7070
4, 14, 0.03, 40.0157, -105.2793, 140.7702, 11.7124, 11.1580, 5.3443, 2.8718, 2.8718
4, 14, 0.35, 40.0157, -105.2793, 86.1830, 18.3876, 14.7501, 7.1577, 6.3473, 6.3473
4, 14, 0.04, 40.0157, -105.2793, 134.6963, 13.2641, 12.4502, 5.8803, 3.2196, 3.2196
4, 14, 0.05, 40.0157, -105.2793, 129.8880, 14.3121, 13.2434, 6.2408, 3.5435, 3.5435
4, 14, 0.06, 40.0157, -105.2793, 125.9024, 15.0705, 13.7685, 6.4976, 3.8314, 3.8314
4, 14, 0.07, 40.0157, -105.2793, 122.4968, 15.6451, 14.1330, 6.6877, 4.0848, 4.0848
4, 14, 0.08, 40.0157, -105.2793, 119.5230, 16.0949, 14.3941, 6.8320, 4.3082, 4.3082
4, 14, 0.09, 40.0157, -105.2793, 116.8837, 16.4554, 14.5849, 6.9434, 4.5059, 4.5059
4, 14, 0.10, 40.0157, -105.2793, 114.5115, 16.7498, 14.7261, 7.0303, 4.6819, 4.6819
4, 14, 0.15, 40.0157, -105.2793, 105.3132, 17.6445, 15.0357, 7.2527, 5.3300, 5.3300
4, 14, 0.02, 40.0157, -105.2793, 149.0650, 9.1301, 8.7547, 4.4669, 2.5814, 2.5814
4, 14, 0.25, 40.0157, -105.2793, 93.7061, 18.2652, 14.9882, 7.2825, 6.0152, 6.0152
4, 14, 0.30, 40.0157, -105.2793, 89.6088, 18.3587, 14.8767, 7.2284, 6.2086, 6.2086
4, 14, 0.35, 40.0157, -105.2793, 86.1830, 18.3876, 14.7501, 7.1577, 6.3473, 6.3473
4, 14, 0.40, 40.0157, -105.2793, 83.2528, 18.3765, 14.6187, 7.0790, 6.4479, 6.4479
4, 14, 0.50, 40.0157, -105.2793, 78.4559, 18.2853, 14.3590, 6.9137, 6.5732, 6.5732
4, 14, 0.60, 40.0157, -105.2793, 74.6511, 18.1453, 14.1133, 6.7506, 6.6343, 6.6343
4, 14, 0.70, 40.0157, -105.2793, 71.5313, 17.9825, 13.8846, 6.5955, 6.6563, 6.6563
4, 14, 0.80, 40.0157, -105.2793, 68.9110, 17.8094, 13.6722, 6.4503, 6.6531, 6.6531
4, 14, 0.90, 40.0157, -105.2793, 66.6699, 17.6328, 13.4744, 6.3152, 6.6331, 6.6331
4, 14, 1.00, 40.0157, -105.2793, 64.7258, 17.4562, 13.2897, 6.1899, 6.6017, 6.6017
4, 14, 1.50, 40.0157, -105.2793, 57.8517, 16.6200, 12.5133, 5.6854, 6.3649, 6.3649
4, 14, 2.00, 40.0157, -105.2793, 53.6469, 15.8862, 11.9016, 5.3304, 6.0919, 6.0919
4, 14, 2.50, 40.0157, -105.2793, 50.8200, 15.2439, 11.3922, 5.0746, 5.8266, 5.8266
4, 14, 3.00, 40.0157, -105.2793, 48.8073, 14.6754, 10.9528, 4.8877, 5.5793, 5.5793
4, 14, 3.50, 40.0157, -105.2793, 47.3146, 14.1664, 10.5645, 4.7509, 5.3518, 5.3518
4, 14, 4.00, 40.0157, -105.2793, 46.1699, 13.7061, 10.2154, 4.6518, 5.1432, 5.1432
4, 14, 5.00, 40.0157, -105.2793, 44.5295, 12.9001, 9.6058, 4.5354, 4.7757, 4.7757
4, 14, 6.00, 40.0157, -105.2793, 43.3832, 12.2108, 9.0833, 4.4947, 4.4639, 4.4639
4, 14, 7.00, 40.0157, -105.2793, 42.4891, 11.6091, 8.6250, 4.5052, 4.1968, 4.1968
4, 14, 8.00, 40.0157, -105.2793, 41.7254, 11.0754, 8.2166, 4.5518, 3.9662, 3.9662
4, 14, 9.00, 40.0157, -105.2793, 41.0298, 10.5962, 7.8483, 4.6248, 3.7657, 3.7657
4, 14, 10.00, 40.0157, -105.2793, 40.3664, 10.1614, 7.5131, 4.7176, 3.5904, 3.5904
4, 14, 15.00, 40.0157, -105.2793, 36.1938, 8.4462, 6.1869, 4.7176, 2.9827, 2.9827
4, 14, 20.00, 40.0157, -105.2793, 27.3442, 7.2014, 5.2335, 4.7176, 2.6599, 2.6599
4, 14, 25.00, 40.0157, -105.2793, 13.5012, 7.2014, 5.2335, 4.7176, 2.6599, 2.6599
4, 14, 30.00, 40.0157, -105.2793, -2.7858, 7.2014, 5.2335, 4.7176, 2.6599, 2.6599
