ID,Y,M,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,84,8,99,99,99,99,99,20,19,19,27,29,26,21,20,23,22,24,33,40,41,99,99,99,99,99
1,84,9,99,99,99,99,99,99,14,13,17,21,20,20,21,21,22,27,31,34,32,99,99,99,99,99
1,84,10,99,99,99,99,99,24,20,23,30,35,34,33,33,35,38,38,32,27,23,99,99,99,99,99
1,84,11,99,99,99,99,99,99,20,20,26,26,28,32,31,33,32,22,19,17,18,99,99,99,99,99
1,85,3,99,99,99,99,99,99,35,33,35,40,39,43,42,36,41,48,44,40,40,99,99,99,99,99
1,85,4,99,99,99,99,99,7,99,99,16,99,19,19,15,13,20,26,26,35,40,99,99,99,99,99
1,85,5,99,99,99,99,99,21,99,26,31,99,25,99,11,12,12,16,99,99,41,99,99,99,99,99
1,85,6,99,99,99,99,99,9,27,28,27,37,36,32,26,13,15,16,99,99,36,99,99,99,99,99
1,85,10,99,99,99,99,99,99,25,25,30,38,99,99,40,41,42,41,36,32,32,30,26,23,99,99
1,85,11,99,99,99,99,99,99,23,26,32,38,99,99,40,42,42,29,26,26,30,31,30,25,99,99
2,80,1,99,99,99,99,99,99,99,99,99,99,99,99,35,99,99,99,99,99,99,99,99,99,99,99
2,80,10,99,99,99,99,99,99,99,99,99,99,99,99,46,99,99,99,99,99,99,99,99,99,99,99
2,80,11,99,99,99,99,99,99,99,99,99,99,99,99,43,99,99,99,99,99,99,99,99,99,99,99
3,80,1,99,99,99,99,99,6,14,26,28,30,31,30,30,29,30,29,30,29,28,30,28,31,16,8
3,80,4,99,99,99,99,99,99,5,16,28,34,35,34,31,31,30,29,29,30,31,29,20,12,5,99
3,80,7,99,99,99,99,99,99,99,10,17,29,35,36,38,39,37,36,36,37,36,23,16,10,7,6
3,80,10,99,99,99,99,4,10,21,29,34,35,35,34,33,35,34,34,33,34,34,35,28,19,10,4
3,81,1,99,99,99,99,99,8,16,27,28,29,29,30,29,30,29,29,30,30,30,30,28,28,10,3
3,81,4,99,99,99,99,99,99,99,14,24,32,31,32,31,30,30,31,31,31,32,29,14,99,99,99
3,81,7,99,99,99,99,99,99,99,99,18,29,35,36,36,36,35,36,36,35,35,22,10,99,99,99
3,81,10,99,99,99,99,99,13,19,30,37,36,36,36,36,36,35,37,37,38,36,37,32,20,10,99
3,82,1,99,99,99,6,12,16,20,33,35,37,36,38,38,38,38,37,37,38,39,41,40,34,22,15
3,82,4,99,99,99,99,99,99,15,23,30,38,38,38,37,36,36,36,36,37,37,34,24,19,12,99
3,82,7,99,99,99,99,99,99,99,14,22,31,40,40,42,42,41,42,41,41,40,27,18,12,99,99
3,82,10,99,99,99,99,99,14,21,31,35,36,38,37,38,38,38,38,39,38,38,40,31,21,14,99
3,83,1,8,99,99,6,6,11,18,31,34,37,36,37,38,39,39,38,38,39,39,40,38,35,20,11
3,83,4,99,99,99,99,99,6,15,26,34,39,41,40,41,40,40,40,39,39,40,37,28,19,12,3
3,83,7,99,99,99,99,99,5,12,17,26,36,42,43,43,44,43,43,43,43,41,33,23,18,11,7
3,83,10,14,11,9,12,16,21,30,36,41,41,40,41,40,41,40,41,41,41,40,42,38,29,22,17
3,84,1,99,99,99,99,99,99,22,38,39,39,39,38,38,39,40,40,40,39,39,37,38,37,20,15
3,84,4,99,99,99,99,99,10,14,22,30,35,35,36,35,36,35,35,36,35,37,34,24,15,11,99
3,84,7,4,99,99,99,99,6,12,18,27,34,39,40,41,40,41,40,39,38,38,31,26,18,14,9
3,84,10,9,6,11,10,12,19,25,32,35,36,36,36,36,36,36,36,37,38,37,36,32,26,18,14
4,80,1,28,25,22,24,29,32,34,41,41,42,41,38,38,36,36,31,23,22,23,21,22,41,36,34
4,80,4,18,15,13,16,16,23,32,36,41,44,45,43,42,42,42,42,43,43,42,43,38,36,28,23
4,80,7,14,11,10,12,13,17,23,28,34,40,43,44,44,44,44,43,42,43,42,38,32,27,21,18
4,80,10,16,15,15,18,22,27,33,37,40,40,40,40,39,40,40,40,40,40,40,42,39,33,27,20
4,81,1,24,21,18,21,22,27,31,38,39,39,37,25,23,27,28,27,31,26,26,25,24,40,32,27
4,81,4,8,4,4,4,9,16,22,28,34,36,37,38,37,38,37,38,38,38,39,40,30,26,18,14
4,81,7,12,9,7,8,11,13,21,28,34,40,43,43,44,44,43,43,43,43,43,37,30,26,22,16
4,81,10,16,13,12,15,19,25,30,36,38,39,39,38,39,39,39,39,39,39,39,41,38,29,25,19
4,82,1,26,23,22,23,27,29,33,39,41,41,38,34,25,31,35,32,99,23,99,99,99,42,35,30
4,82,4,17,13,12,13,16,20,28,28,36,39,40,40,41,40,40,40,39,39,40,42,34,30,25,19
4,82,7,13,12,9,10,12,18,22,28,34,40,43,44,45,44,45,44,44,43,42,39,32,28,23,17
4,82,10,19,17,16,18,22,28,30,35,40,38,39,38,38,38,38,38,38,38,38,39,38,32,28,23
4,83,1,25,22,20,21,23,24,32,37,39,40,31,24,23,24,25,24,24,24,23,23,22,41,33,27
4,83,4,19,15,14,16,18,23,27,32,36,39,38,40,38,39,38,38,38,38,37,38,35,30,29,22
4,83,7,17,16,15,15,17,20,25,30,35,39,42,42,43,43,43,42,41,43,41,38,34,31,26,21
4,83,10,24,22,22,24,26,29,33,39,39,39,39,38,36,35,29,32,28,34,29,27,41,35,30,27
5,70,1,1,-3,-5,-3,2,7,24,35,36,36,37,36,36,36,36,35,35,35,35,35,34,34,30,2
5,70,4,-3,-4,-5,-3,-2,2,9,26,31,34,34,33,33,33,32,32,33,32,32,31,29,24,9,3
5,70,7,-3,-4,99,99,-4,-1,5,13,31,37,40,40,40,41,41,40,40,40,39,35,27,18,3,0
5,70,10,8,3,4,4,12,17,25,38,40,41,40,40,41,41,40,40,39,39,39,37,36,28,19,12
5,71,1,19,15,15,13,18,24,31,40,43,43,42,43,43,41,41,41,40,40,40,39,40,45,36,27
5,71,4,8,7,6,8,12,21,28,33,36,37,36,37,37,35,36,35,34,34,33,31,29,23,15,11
5,71,7,11,6,7,5,5,8,14,24,34,38,40,40,40,41,41,41,41,41,40,35,32,29,19,14
5,71,10,5,1,3,6,11,16,24,30,33,34,34,35,36,36,36,36,36,35,35,33,29,24,23,8
